// Note : Å°(ID)¿Í ³»¿ëÀº ¹Ýµå½Ã ÅÇÀ¸·Î ±¸ºÐµÇ¾î¾ß ÇÕ´Ï´Ù.
//
IN_000_000	Swords [Dex]
ID_000_000	
IN_000_001	Freshman Stick
ID_000_001	
IN_000_002	Wooden Sword
ID_000_002	
IN_000_003	Japanese Sword
ID_000_003	
IN_000_004	Jasper Sword
ID_000_004	
IN_000_005	Bamboo Sword
ID_000_005	
IN_000_006	Steel Sword
ID_000_006	
IN_000_007	Warrior Sword
ID_000_007	
IN_000_008	Damascus Sword
ID_000_008	
IN_000_009	Sharp Sword
ID_000_009	
IN_000_010	Catling Sword
ID_000_010	
IN_000_011	Medium Broad Sword
ID_000_011	
IN_000_012	Broad Sword
ID_000_012	
IN_000_013	Lava Sword
ID_000_013	
IN_000_014	Dragon Swrd
ID_000_014	
IN_000_015	Solar Sword
ID_000_015	
IN_000_016	GanJiang Sword
ID_000_016	
IN_000_017	ChuWang Sword
ID_000_017	
IN_000_018	JuJue Sword
ID_000_018	
IN_000_019	TianWu Sword
ID_000_019	
IN_000_020	Double Medium Sword
ID_000_020	
IN_000_021	Chu King Sword
ID_000_021	
IN_001_000	Event Items
ID_001_000	
IN_001_001	Heavy Double BaGua Blade
ID_001_001	
IN_001_002	Shen Mo Ring
ID_001_002	
IN_001_003	Heavy Iron Bracers
ID_001_003	
IN_001_004	Practice Bow
ID_001_004	
IN_001_005	Double-Medium Sword
ID_001_005	
IN_001_006	QiXing Gloves
ID_001_006	
IN_001_007	Heavy Wood Practice Bow
ID_001_007	
IN_001_008	Heavy Gold Spear
ID_001_008	
IN_001_009	Shadow Staff
ID_001_009	
IN_001_010	Heavy PiLong Dagger
ID_001_010	
IN_001_011	Heavy QingWu Bracers
ID_001_011	
IN_001_012	TianChui Bow
ID_001_012	
IN_001_013	BaiYou Sword
ID_001_013	
IN_001_014	Tough Gauntlets
ID_001_014	
IN_001_015	Tian Wu Bow
ID_001_015	
IN_001_016	Yue Huan Spear
ID_001_016	
IN_001_017	QingLun Staff
ID_001_017	
IN_001_018	Rice Dumpling
ID_001_018	
IN_001_019	Realgar
ID_001_019	
IN_001_020	Fragrance Sachet Box
ID_001_020	
IN_001_021	Fragrance Sachet
ID_001_021	
IN_001_022	Police Emblem Fragment
ID_001_022	Give 30 Police Emblem Fragments to the Tunnel Police to get a Gift Box
